,confidence,happy,angry,bored,fear,sad,excited,spam,news,feedback,marketing,Class
110,86,0.071249273,0.274818803,0.060732839000000004,0.24373191600000002,0.225386442,0.124080726,0.07400000000000001,0.711,0.163,0.02,0
111,86,0.425500135,0.09117435900000001,0.039733405,0.1018089,0.066475347,0.27530785399999996,0.043,0.5579999999999999,0.127,0.06,0
112,86,0.083540182,0.170432623,0.064456264,0.320311291,0.22935488,0.131904759,0.057999999999999996,0.507,0.294,0.017,0
113,84,0.21508510600000003,0.091511295,0.296472966,0.087520979,0.04889356,0.260516094,0.096,0.031,0.138,0.706,0
114,86,0.051088852000000004,0.29749016300000003,0.236831147,0.16256383,0.165926433,0.086099575,0.027999999999999997,0.7290000000000001,0.11699999999999999,0.017,0
115,94,0.088189481,0.299879645,0.027780412,0.21486297699999998,0.18357311399999998,0.18571437,0.171,0.456,0.121,0.151,1
116,76,0.13335292699999998,0.24166860199999998,0.060149392,0.172352499,0.261115651,0.13136092900000002,0.182,0.431,0.332,0.025,0
117,92,0.078111091,0.27933837,0.063865218,0.209904996,0.17229546399999998,0.196484861,0.057999999999999996,0.799,0.079,0.048,1
118,86,0.203272375,0.192828683,0.054136381,0.17335741699999999,0.147781363,0.228623783,0.047,0.674,0.18899999999999997,0.071,0
119,86,0.057707548,0.332026029,0.132523734,0.187250786,0.1888721,0.10161980400000001,0.027000000000000003,0.8059999999999999,0.095,0.03,0
120,86,0.17954981399999997,0.132795902,0.133920919,0.199919785,0.08160004900000001,0.272213531,0.086,0.11900000000000001,0.153,0.621,0
121,86,0.039946717,0.533987193,0.037580919,0.167541996,0.164445327,0.056497847999999996,0.07400000000000001,0.52,0.228,0.059000000000000004,1
122,86,0.088726395,0.365927665,0.082684729,0.173017125,0.203078884,0.086565202,0.035,0.669,0.12300000000000001,0.055,0
123,86,0.273749248,0.207617605,0.031840912,0.093149489,0.054766542,0.33887620399999996,0.023,0.8170000000000001,0.079,0.078,0
124,76,0.298035128,0.134189896,0.027175964,0.109549614,0.024767747000000003,0.40628165,0.031,0.818,0.071,0.076,0
125,86,0.321873811,0.051237958,0.018200718,0.10095414800000001,0.027028474,0.48070489200000005,0.035,0.155,0.078,0.73,0
126,81,0.267676373,0.123910102,0.047852454,0.199255507,0.073294888,0.288010677,0.063,0.7859999999999999,0.079,0.067,0
127,86,0.137955573,0.231064817,0.046864151,0.14783700800000002,0.25549029,0.180788161,0.054000000000000006,0.746,0.077,0.022000000000000002,0
128,73,0.246540377,0.164005045,0.033918826,0.17089408,0.149005597,0.235636077,0.141,0.28300000000000003,0.35700000000000004,0.179,0
129,86,0.127016144,0.13760373,0.132335456,0.254089338,0.17652332699999998,0.172432005,0.18100000000000002,0.21,0.23600000000000002,0.10400000000000001,0
130,86,0.077026709,0.323330768,0.11253702300000001,0.18413796699999999,0.155683136,0.14728439699999998,0.141,0.40299999999999997,0.303,0.055999999999999994,0
131,91,0.206478248,0.293096703,0.0,0.101711198,0.109828862,0.288884988,0.218,0.41200000000000003,0.109,0.253,1
132,86,0.064499262,0.438522112,0.014173803,0.179124808,0.17537243600000002,0.128307579,0.028999999999999998,0.8109999999999999,0.133,0.011000000000000001,1
133,86,0.060574857,0.388598041,0.08486874400000001,0.189780411,0.159010195,0.117167751,0.031,0.759,0.172,0.013000000000000001,0
134,86,0.224006024,0.18851244,0.044389864,0.18128212100000002,0.135480182,0.22632937,0.06,0.7340000000000001,0.111,0.062,0
135,86,0.125546001,0.315306464,0.08648953599999999,0.150798317,0.14950692699999998,0.172352754,0.05,0.722,0.156,0.039,0
136,86,0.066649969,0.261235636,0.169294578,0.17592060199999998,0.221915773,0.10498344300000001,0.059000000000000004,0.6659999999999999,0.16699999999999998,0.046,0
137,100,0.333590877,0.067393578,0.0,0.13371803599999998,0.07614494599999999,0.38915256299999995,0.091,0.518,0.13,0.244,1
138,83,0.13489749199999998,0.260020634,0.09761837699999999,0.207751407,0.122515325,0.17719676399999998,0.008,0.9520000000000001,0.024,0.013000000000000001,0
139,100,0.34169254,0.046953284000000005,0.010356564,0.070629409,0.018906968,0.511461235,0.10099999999999999,0.172,0.171,0.53,1
140,84,0.10261685,0.249344922,0.06369847,0.22779507300000001,0.25903989,0.09750479599999999,0.044000000000000004,0.787,0.128,0.015,0
141,86,0.211988005,0.150906885,0.083019228,0.134966946,0.06671913900000001,0.352399796,0.139,0.493,0.155,0.20800000000000002,0
142,86,0.080754532,0.338261865,0.14112656,0.167282926,0.16540958,0.107164538,0.006999999999999999,0.8909999999999999,0.043,0.034,0
143,86,0.296034867,0.096660502,0.052579691,0.244182693,0.08623636800000001,0.22430587899999999,0.11800000000000001,0.326,0.11,0.44,0
144,94,0.204779228,0.17626348600000002,0.06141539,0.162811012,0.11755565300000001,0.277175231,0.038,0.862,0.063,0.028999999999999998,1
145,83,0.26999176399999997,0.125214624,0.0,0.195419497,0.160118807,0.249255308,0.156,0.44799999999999995,0.251,0.121,0
146,86,0.249565123,0.163183165,0.108720449,0.126531499,0.01920756,0.332792205,0.047,0.24600000000000002,0.129,0.57,0
147,86,0.144462526,0.281142548,0.025940009,0.09674126400000001,0.079203357,0.37251029700000005,0.062,0.7040000000000001,0.08,0.135,1
148,74,0.129132216,0.276882864,0.083767488,0.167773366,0.182157029,0.160287037,0.08199999999999999,0.502,0.24600000000000002,0.102,0
149,86,0.07467829299999999,0.324675366,0.201479055,0.149182956,0.10614304,0.14384129,0.145,0.28300000000000003,0.322,0.066,0
150,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
